	Query	Result	Tweet	User	Date	Hashtags	Likes	Retweets
0	covid	1	Covid	SadekLaMenace	Sun Nov 22 12:17:01 +0000 2020	[]	0	0
1	covid	2	Covid	Lulu_Mumu_Qiqi	Sun Nov 22 12:14:57 +0000 2020	[]	0	0
2	covid	3	Covid 😅	Gunes64042865	Sun Nov 22 12:14:23 +0000 2020	[]	0	0
3	covid	4	so i have covid..	crowdedsg	Sun Nov 22 12:04:56 +0000 2020	[]	0	0
4	covid	5	Covid https://t.co/AV4GtCU7eU	richwolves41	Sun Nov 22 12:04:34 +0000 2020	[]	0	0
5	covid	6	So, the COVID... 😀	boggleabout	Sun Nov 22 11:47:37 +0000 2020	[]	0	0
6	covid	7	"""...of COVID."" https://t.co/xUPRBmoQwT"	Mr_McNerney	Sun Nov 22 11:35:57 +0000 2020	[]	0	0
7	covid	8	covid	Kr1s_O	Sun Nov 22 11:06:34 +0000 2020	[]	0	0
8	covid	9	Covid https://t.co/XqQYYDdm6k	DonaldAppel3	Sun Nov 22 10:59:16 +0000 2020	[]	0	0
9	covid	10	What covid? https://t.co/6yiwdvQ2hj	cheryl_goose	Sun Nov 22 09:18:57 +0000 2020	[]	11	2
10	covid	11	Covid.	BitchestheCat	Sat Nov 21 04:24:21 +0000 2020	[]	884	96
11	covid	12	⁦@realDonaldTrump⁩ COVID! COVID! COVID! COVID! COVID! COVID! COVID! COVID! COVID! COVID!!! https://t.co/Hyi1y3jnTR	Nannee61	Sun Nov 22 11:52:07 +0000 2020	[]	0	0
12	covid	13	"@JoeBiden We get it...

COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID C… https://t.co/la8qXd2Iht"	gentlemanrobb	Sun Nov 22 12:05:01 +0000 2020	[]	0	0
13	covid	14	@AeHcat But not dying of Covid while never having Covid is a symptom of Covid.	Rizzo26475417	Sun Nov 22 06:36:47 +0000 2020	[]	1	1
14	covid	15	is it allergies or is it covid? is it a stress migraine or is it covid? is it anxiety or is it covid?	astr0jade	Thu Nov 19 19:00:35 +0000 2020	[]	7787	1610
15	covid	16	@latimeralder Covid hasn’t killed that many. They died of any reason with covid AND the covid testing was dodgy. Covid alone could be low.	leebrown0	Sun Nov 22 12:15:04 +0000 2020	[]	0	0
16	covid	17	@ScunthorpeLive Covid, Covid, Covid, Covid.......... drop this crap that we get from the NATIONAL NEWS. Get yer laz… https://t.co/D9Zj3pKTrf	badapple365	Sun Nov 22 11:22:38 +0000 2020	[]	0	0
17	covid	18	@bruce_haigh Over the course of 2020 we have gone from only COVID COVID COVID (to quote the Donald) to a very news-… https://t.co/5qa8GgDsN7	katie8491	Sun Nov 22 11:52:36 +0000 2020	[]	0	0
18	covid	19	"@Slate @realDonaldTrump:
COVID, COVID, COVID.

That's all that the fake countries want to talk about!"	thenumberswin	Sun Nov 22 11:34:52 +0000 2020	[]	0	0
19	covid	20	@BillKristol I thought we weren’t going to hear about ‘Covid , covid, COVID’ after November 3rd?	EggchaserXIII	Sun Nov 22 11:29:40 +0000 2020	[]	0	0
20	pandemic	1	During a pandemic.	iBlackKelly	Sun Nov 22 12:09:16 +0000 2020	[]	0	0
21	pandemic	2	Before pandemic 😂 https://t.co/tsspFAtdat	AlegreJaja	Sun Nov 22 12:01:52 +0000 2020	[]	0	0
22	pandemic	3	Because of pandemic.	VANSOMBRE	Sun Nov 22 11:52:46 +0000 2020	[]	0	0
23	pandemic	4	IT'S ABOUT THE PANDEMIC?	girlyjuicebooks	Sun Nov 22 11:31:26 +0000 2020	[]	0	0
24	pandemic	5	During a pandemic? 👀🤦‍♂️	dntwsteurtalent	Sun Nov 22 11:23:35 +0000 2020	[]	0	0
