	Query	Result	Tweet	User	Date	Hashtags	Likes	Retweets
0	covid	1	"It has now tested positive for covid. 
https://t.co/JASMR9frNk"	TheJDam	Sun Nov 22 11:57:11 +0000 2020	[]	0	0
1	covid	2	BREAKING: Kelly Loeffler has tested POSITIVE for covid! 👠	Steph56Renee	Sun Nov 22 03:27:29 +0000 2020	[]	103	11
2	covid	3	"Loeffler tests positive for Covid but undergoing further testing

https://t.co/nrQR4XKBkP"	RamJamRTR	Sun Nov 22 11:58:37 +0000 2020	[]	0	0
3	covid	4	"Loeffler tests positive for Covid but undergoing further testing
https://t.co/BQTUup1h3X"	cherchezlalune2	Sun Nov 22 11:58:09 +0000 2020	[]	0	0
4	covid	5	"Loeffler tests positive for Covid but undergoing further testing
https://t.co/iTknI3IAge"	QueensIceZ	Sun Nov 22 11:46:33 +0000 2020	[]	0	0
5	covid	6	"Loeffler tests positive for Covid but undergoing further testing

https://t.co/quXLWrJyuw"	Theresa34120053	Sun Nov 22 11:43:02 +0000 2020	[]	0	0
6	covid	7	"Loeffler tests positive for Covid but undergoing further testing
https://t.co/5ulPDNmhne"	bote930	Sun Nov 22 11:26:46 +0000 2020	[]	0	0
7	covid	8	"Loeffler tests positive for Covid but undergoing further testing
https://t.co/c06EbCUbZA"	DeeFonta	Sun Nov 22 10:56:01 +0000 2020	[]	0	0
8	covid	9	@KLoeffler has tested positive for Covid. https://t.co/wOSEfDZrrY	PissOffTrumpkin	Sun Nov 22 12:01:23 +0000 2020	[]	0	0
9	covid	10	Kelly Loeffler Georgia Sen. Kelly  #Loeffler tests positive for  #COVID but is undergoing further testing https://t.co/AZ10UzC3H7	PresshubU	Sun Nov 22 11:40:49 +0000 2020	['Loeffler', 'COVID']	0	0
10	covid	11	"Georgia Sen. Kelly Loeffler tests positive for Covid but is undergoing further testing
https://t.co/gvxzSjyFYV"	Bizypawz	Sun Nov 22 12:13:06 +0000 2020	[]	0	0
11	covid	12	"Georgia Sen. Kelly Loeffler tests positive for Covid but is undergoing further testing
https://t.co/Lc0zSvOOAY. Do… https://t.co/3gvCdqsR2C"	sal1944s	Sun Nov 22 12:10:00 +0000 2020	[]	0	0
12	covid	13	"Georgia Sen. Kelly Loeffler tests positive for Covid but is undergoing further testing
https://t.co/H9kfSphm7T. *My… https://t.co/e1BFyrx2Iz"	curtisc5105	Sun Nov 22 12:05:17 +0000 2020	[]	0	0
13	covid	14	"Georgia Sen. Kelly Loeffler tests positive for Covid but is undergoing further testing

https://t.co/4NQ6DkBlHM"	Raymond_Norman	Sun Nov 22 11:50:41 +0000 2020	[]	0	0
14	covid	15	"Georgia Sen. Kelly Loeffler tests positive for Covid but is undergoing further testing

https://t.co/SwXSZktdhj"	atlpeach217	Sun Nov 22 11:45:14 +0000 2020	[]	0	0
15	covid	16	Georgia Sen. Kelly Loeffler tests positive for Covid but is undergoing further testing https://t.co/BcutVrp874	VenueVegas	Sun Nov 22 11:43:30 +0000 2020	[]	0	0
16	covid	17	Georgia Sen. Kelly Loeffler tests positive for Covid but is undergoing further testing https://t.co/OlV106HKtb	MarnieRose2	Sun Nov 22 11:36:00 +0000 2020	[]	0	0
17	covid	18	"Georgia Sen. Kelly Loeffler tests positive for Covid but is undergoing further testing
https://t.co/1FKK2gCnu4"	6Tchoup	Sun Nov 22 11:28:01 +0000 2020	[]	0	0
18	covid	19	"Georgia Sen. Kelly Loeffler tests positive for Covid but is undergoing further testing.
https://t.co/rYLPlhyaQw"	MrsVSNC09	Sun Nov 22 11:09:31 +0000 2020	[]	0	0
19	covid	20	Covid	SadekLaMenace	Sun Nov 22 12:17:01 +0000 2020	[]	0	0
20	pandemic	1	During a pandemic.	iBlackKelly	Sun Nov 22 12:09:16 +0000 2020	[]	0	0
21	pandemic	2	Before pandemic 😂 https://t.co/tsspFAtdat	AlegreJaja	Sun Nov 22 12:01:52 +0000 2020	[]	0	0
22	pandemic	3	Because of pandemic.	VANSOMBRE	Sun Nov 22 11:52:46 +0000 2020	[]	0	0
23	pandemic	4	IT'S ABOUT THE PANDEMIC?	girlyjuicebooks	Sun Nov 22 11:31:26 +0000 2020	[]	0	0
24	pandemic	5	During a pandemic? 👀🤦‍♂️	dntwsteurtalent	Sun Nov 22 11:23:35 +0000 2020	[]	0	0
25	pandemic	6	"Pandemic
https://t.co/RyPn4dZvDE"	Mohsinmazari12	Sun Nov 22 11:18:29 +0000 2020	[]	0	0
26	pandemic	7	It's a pandemic?! - same here!	rinaspas	Sun Nov 22 11:08:31 +0000 2020	[]	0	0
27	pandemic	8	In a pandemic!!!	Can_You_Handle	Sun Nov 22 10:59:34 +0000 2020	[]	0	0
28	pandemic	9	me during this pandemic https://t.co/BCTxyujPwx	marsupialqueen	Sun Nov 22 10:56:12 +0000 2020	[]	0	0
29	pandemic	10	THE PANDEMIC IS OVER!!	ToniaBuxton	Sun Nov 22 08:58:27 +0000 2020	[]	17	5
30	pandemic	11	In a pandemic 😔	Just_2Lee	Sun Nov 22 08:42:36 +0000 2020	[]	0	1
31	pandemic	12	Before pandemic. https://t.co/CLxs5tWED4	EmmaKeller019	Sat Nov 21 14:04:16 +0000 2020	[]	3	1
32	pandemic	13	@realDonaldTrump G-20 meet to discuss the pandemic and where were you? Golfing... And you wonder why you are on you… https://t.co/6dDEIn4kaT	jsnake1952	Sun Nov 22 11:15:58 +0000 2020	[]	0	0
33	pandemic	14	@MichaelYeadon3 What pandemic?	MarkC48322041	Sun Nov 22 11:13:29 +0000 2020	[]	0	0
34	pandemic	15	@realDonaldTrump There was a G20 meeting today to discuss what to do next for the pandemic. Where were you? GOLFING… https://t.co/1hRK7FOaWQ	leggyladystacy	Sun Nov 22 11:33:52 +0000 2020	[]	0	0
35	pandemic	16	To know about the pandemic https://t.co/jnMD2MTkDg	RizwanQ55919857	Sun Nov 22 11:57:15 +0000 2020	[]	0	0
36	pandemic	17	But.. but.. I thought there was a pandemic?	Rocketpants_	Sun Nov 22 11:02:49 +0000 2020	[]	0	0
37	pandemic	18	we’re in the middle of a pandemic	daniclaytns	Sun Nov 22 12:02:27 +0000 2020	[]	0	0
38	pandemic	19	The pandemic is a lie	AndreaAlbion	Sun Nov 22 11:52:32 +0000 2020	[]	0	0
